120234,1,2017-09-28 09:00,Boeing,Boston,TRUE,200,FALSE,2014
120235,2,2017-09-30 01:00,Airbus,NewYork,TRUE,250,TRUE,2013
120236,1,2017-09-29 09:01,Embraer,SanF,FALSE,300,TRUE,2012
120237,2,2017-09-31 01:01,Boeing,Boston,FALSE,240,FALSE,2011
120238,2,2017-09-28 09:02,Bombardier,Boston,TRUE,200,FALSE,2014
120239,1,2017-09-30 10:00,Airbus,Seattle,TRUE,350,TRUE,2014
120240,3,2017-09-28 17:00,Boeing,Boston,FALSE,180,TRUE,2013
120241,3,2017-09-30 18:00,Airbus,SanF,TRUE,200,FALSE,2012
120242,2,2017-09-28 22:04,Embraer,SanF,FALSE,250,FALSE,2011
120243,1,2017-09-30 12:04,Boeing,NewYork,TRUE,300,FALSE,2015
